date,race,team,position,points,wins,year
2020-07-05,Austrian Grand Prix,Ferrari,3,19.0,0,2020
2020-07-12,Styrian Grand Prix,Ferrari,5,19.0,0,2020
2020-07-19,Hungarian Grand Prix,Ferrari,5,27.0,0,2020
2020-08-02,British Grand Prix,Ferrari,4,43.0,0,2020
2020-08-09,70th Anniversary Grand Prix,Ferrari,3,55.0,0,2020
2020-08-16,Spanish Grand Prix,Ferrari,5,61.0,0,2020
2020-08-30,Belgian Grand Prix,Ferrari,5,61.0,0,2020
2020-09-06,Italian Grand Prix,Ferrari,6,61.0,0,2020
2020-09-13,Tuscan Grand Prix,Ferrari,6,66.0,0,2020
2020-09-27,Russian Grand Prix,Ferrari,6,74.0,0,2020
2020-10-11,Eifel Grand Prix,Ferrari,6,80.0,0,2020
2020-10-25,Portuguese Grand Prix,Ferrari,6,93.0,0,2020
2020-11-01,Emilia Romagna Grand Prix,Ferrari,6,103.0,0,2020
2020-11-15,Turkish Grand Prix,Ferrari,6,130.0,0,2020
2020-11-29,Bahrain Grand Prix,Ferrari,6,131.0,0,2020
2020-12-06,Sakhir Grand Prix,Ferrari,6,131.0,0,2020
2020-12-13,Abu Dhabi Grand Prix,Ferrari,6,131.0,0,2020
2021-03-28,Bahrain Grand Prix,Ferrari,4,12.0,0,2021
2021-04-18,Emilia Romagna Grand Prix,Ferrari,4,34.0,0,2021
2021-05-02,Portuguese Grand Prix,Ferrari,4,42.0,0,2021
2021-05-09,Spanish Grand Prix,Ferrari,4,60.0,0,2021
2021-05-23,Monaco Grand Prix,Ferrari,4,78.0,0,2021
2021-06-06,Azerbaijan Grand Prix,Ferrari,3,94.0,0,2021
2021-06-20,French Grand Prix,Ferrari,4,94.0,0,2021
2021-06-27,Styrian Grand Prix,Ferrari,4,108.0,0,2021
2021-07-04,Austrian Grand Prix,Ferrari,4,122.0,0,2021
2021-07-18,British Grand Prix,Ferrari,4,148.0,0,2021
2021-08-01,Hungarian Grand Prix,Ferrari,3,163.0,0,2021
2021-08-29,Belgian Grand Prix,Ferrari,4,165.5,0,2021
2021-09-05,Dutch Grand Prix,Ferrari,3,181.5,0,2021
2021-09-12,Italian Grand Prix,Ferrari,4,201.5,0,2021
2021-09-26,Russian Grand Prix,Ferrari,4,216.5,0,2021
2021-10-10,Turkish Grand Prix,Ferrari,4,232.5,0,2021
2021-10-24,United States Grand Prix,Ferrari,4,250.5,0,2021
2021-11-07,Mexico City Grand Prix,Ferrari,3,268.5,0,2021
2021-11-14,São Paulo Grand Prix,Ferrari,3,287.5,0,2021
2021-11-21,Qatar Grand Prix,Ferrari,3,297.5,0,2021
2021-12-05,Saudi Arabian Grand Prix,Ferrari,3,307.5,0,2021
2021-12-12,Abu Dhabi Grand Prix,Ferrari,3,323.5,0,2021
2022-03-20,Bahrain Grand Prix,Ferrari,1,44.0,1,2022
2022-03-27,Saudi Arabian Grand Prix,Ferrari,1,78.0,1,2022
2022-04-10,Australian Grand Prix,Ferrari,1,104.0,2,2022
